run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.cv_rmse,metrics.cv_rmse_step,metrics.test_r2,metrics.test_rmse,metrics.validation_min_test_r2,metrics.test_mae,metrics.best_cv_rmse,metrics.r2,metrics.mae,metrics.rmse,params.max_depth,params.n_estimators,params.n_jobs,params.random_state,params.min_samples_leaf,params.best_n_estimators,params.model_type,params.n_trials,params.cv_folds,params.best_min_samples_leaf,params.validation_min_test_r2,params.feature_selection_k,params.best_max_depth,params.validation_passed,tags.mlflow.source.name,tags.mlflow.source.type,tags.mlflow.runName,tags.mlflow.user,tags.mlflow.source.git.commit,tags.mlflow.parentRunId,tags.mlflow.log-model.history
b131c13b35bf4fce8b2ac0dc2c13acb1,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/b131c13b35bf4fce8b2ac0dc2c13acb1/artifacts,2026-05-01 14:30:53.506000+00:00,2026-05-01 14:30:53.598000+00:00,65.09838971296328,65.09838971296328,,,,,,,,,None,400,-1,42,4,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_17,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,2eed63f9b3a14913b0e7a3b5a29e852b,
0a2ce2fd3bd7418a82bee85dcb9d403f,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/0a2ce2fd3bd7418a82bee85dcb9d403f/artifacts,2026-05-01 14:30:50.424000+00:00,2026-05-01 14:30:50.509000+00:00,65.0591974855531,65.0591974855531,,,,,,,,,None,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_16,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,2eed63f9b3a14913b0e7a3b5a29e852b,
2d908315bcec45d0bca517f6ec2a26d0,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/2d908315bcec45d0bca517f6ec2a26d0/artifacts,2026-05-01 14:30:47.974000+00:00,2026-05-01 14:30:48.062000+00:00,65.0591974855531,65.0591974855531,,,,,,,,,None,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_15,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,2eed63f9b3a14913b0e7a3b5a29e852b,
44ca3f7cbc5f40dba4b042246e6a94b7,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/44ca3f7cbc5f40dba4b042246e6a94b7/artifacts,2026-05-01 14:30:45.408000+00:00,2026-05-01 14:30:45.474000+00:00,65.0591974855531,65.0591974855531,,,,,,,,,None,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_14,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,2eed63f9b3a14913b0e7a3b5a29e852b,
4c7acf8a13944914b79f7e808efc950d,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/4c7acf8a13944914b79f7e808efc950d/artifacts,2026-05-01 14:30:42.889000+00:00,2026-05-01 14:30:42.977000+00:00,65.0591974855531,65.0591974855531,,,,,,,,,None,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_13,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,2eed63f9b3a14913b0e7a3b5a29e852b,
2eba4d0ea18f417db05063be54eb1439,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/2eba4d0ea18f417db05063be54eb1439/artifacts,2026-05-01 14:30:40.235000+00:00,2026-05-01 14:30:40.311000+00:00,65.0591974855531,65.0591974855531,,,,,,,,,None,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_12,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,2eed63f9b3a14913b0e7a3b5a29e852b,
ad9a3994504e4320812d2b8b391c326b,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/ad9a3994504e4320812d2b8b391c326b/artifacts,2026-05-01 14:30:37.752000+00:00,2026-05-01 14:30:37.829000+00:00,65.0591974855531,65.0591974855531,,,,,,,,,None,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_11,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,2eed63f9b3a14913b0e7a3b5a29e852b,
2fdc7ef784934e3d99a6fdba01af2286,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/2fdc7ef784934e3d99a6fdba01af2286/artifacts,2026-05-01 14:30:35.341000+00:00,2026-05-01 14:30:35.442000+00:00,65.0591974855531,65.0591974855531,,,,,,,,,None,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_10,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,2eed63f9b3a14913b0e7a3b5a29e852b,
49c9d5b6f80149f58ee9284869269436,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/49c9d5b6f80149f58ee9284869269436/artifacts,2026-05-01 14:30:32.692000+00:00,2026-05-01 14:30:32.776000+00:00,67.17774543547023,67.17774543547023,,,,,,,,,8,400,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_9,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,2eed63f9b3a14913b0e7a3b5a29e852b,
ece0ce3f96f64e3f85288769e62c2c8f,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/ece0ce3f96f64e3f85288769e62c2c8f/artifacts,2026-05-01 14:30:30.360000+00:00,2026-05-01 14:30:30.449000+00:00,65.11903490596708,65.11903490596708,,,,,,,,,None,100,-1,42,2,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_8,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,2eed63f9b3a14913b0e7a3b5a29e852b,
